artist,song_title
Udo Lindenberg & Apache 207,Komet
Ski Aggu & Joost & Otto Waalkes,Friesenjung
Luca-Dante Spadafora & Niklas Dee & Octavian & Peter Plate &...,Mädchen Auf Dem Pferd
Sira & Bausa & Badchieff,9 Bis 9
Ski Aggu & Sira,Mietfrei
Ayliva,Weisses Haus
Yung Yury & Damn Yury,Tabu
Apache 207,Breaking Your Heart
David Kushner,Daylight
Niklas Dee & Old Jim,Not Fair
Raf Camora & Hoodblaq,Tropicana
Creeds,Push Up
Miley Cyrus,Flowers
Bonez Mc,So
Ayliva,In Deinen Armen
Tiesto,Lay Low
01099 & Paul & Ski Aggu,Anders
Dave & Central Cee,Sprinter
Nina Chuba,Wildberry Lillet
Miksu / Macloud & Makko,Nachts Wach
Purple Disco Machine & Kungs,Substitution
Bobby Vandamme,Brazil Funk Freestyle
David Guetta & Anne-Marie & Coi Leray,Baby Don'T Hurt Me
The Weeknd & Madonna,Popular
Olivia Rodrigo,Vampire
Gunna,Fukumean
Apache 207,Wenn Das So Bleibt
Peter Fox,Zukunft Pink
Nina Chuba,Mangos Mit Chili
Apache 207,Neunzig
Kalim,5Ive On It
Eminem,Mockingbird
Casper,Sommer
Jung Kook & Latto,Seven
Kontra K,Was Echtes
Dardan & Azet,Malli
David Guetta & Bebe Rexha,I'M Good
Loreen,Tattoo
Taylor Swift,Cruel Summer
Apache 207,Roller
Billie Eilish,What Was I Made For
Finch & Tream,Liebe Auf Der Rückbank
Tream & Treamiboii,Zelten Auf Kies
Tom Odell,Another Love
Ikke Hüftgold & Schürze & Dj Robin,Bumsbar
Hoodblaq,Pass Auf
Apache 207,Was Weisst Du Schon
Ski Aggu & Endzone & Ericson,Party Sahne
Ayliva,Sie Weiss
Michael Schulte & R3Hab,Waterfall
Pink,Trustfall
Pashanim,Bagchaser Can
Harry Styles,As It Was
Post Malone,Chemical
1986Zig,Sunshine
Jazeek,Superstars
Sinead O'Connor,Nothing Compares 2 U
Rubi,Only 4 Life
Miksu / Macloud & Makko & T-Low,Ich Will
Dua Lipa,Dance The Night
Mark Forster & Kontra K,Wenn Du Mich Vergisst
Jamal,Rein Gehen
Empire Of The Sun & Southstar,We Are The People
Taylor Swift,Anti-Hero
Azet & Dardan,Gang
Jain,Makeba
Azet & Dj Gimi-O,Bona
Julian Sommer & Mia Julia,Peter Pan
Luciano & Aitch,Bamba
Rin & Miksu / Macloud,Euphoria
Metro Boomin & The Weeknd & 21 Savage,Creepin'
Ayliva,Aber Sie
Bonez Mc,Alles Nur Kein Star
01099,Tempo
Miksu / Macloud & T-Low,Sehnsucht
Ufo361 & Lucidbeatz,Match_3
Raf Camora & Ahmad Amin,Strada
Fast Boy & Topic,Forget You
Pashanim,Sommergewitter
Jonas Blue & Felix Jaehn,Weekends
Macklemore & Ryan Lewis & Macklemore & Ryan Lewis & Macklemore...,Can'T Hold Us
Jax Jones & Calum Scott,Whistle
Nina Chuba & Chapo102,Ich Hass Dich
Raf Camora & Luciano,All Night
Matt Sassari,Give It To Me
Hava & Dardan,Normal
Yung Yury & Lena & Niklas Dee & Luca-Dante Spadafora & Damn...,Tabu Rmx
Manu Chao,Me Gustas Tu
Milky Chance,Living In A Haze
Lea & 01099 & Gustav & Zachi,Aperol Im Glas
Montez & Sdp,Fieber
Peggy Gou,(It Goes Like) Nanana
Vize & Joris Sava & July,Ghost Town
Honk & Isi Glück,Delfin
The Weeknd & Ariana Grande,Save Your Tears
Libianca,People
Nathan Evans,Wellerman
Troye Sivan,Rush
Ed Sheeran,Eyes Closed
James Hype & Miggy Dela Rosa,Ferrari
